"HUC_12","HUC12_POP","HH_INC","POP_DENSITY","POV_BELOW","HH_OVER65","HH_UNDER18","EDU_DEGREE","EDU_HS_MAX","OCC_UNIT_OWN","RACE_WA","RACE_NATIVE"
"171100050707",148.53541984047,33823.7248045239,484.234637395556,0.27991457126386,0.171346623742189,0.299142352955374,0.347381533104045,0.297236730676771,0.642109667461254,0.910274513658461,0.058490601337767
"171100050801",238.67340843047,33392.9084380528,35.9683992770759,0.232378958127927,0.287601357236384,0.180199461459752,0.388409979720778,0.282920421706314,0.721431499894322,0.874712952332355,0.0863271745542251
"171100050802",7.65070364716124,43656,1.21432727304856,0.165338645418327,0.229928619664731,0.1964430536277,0.317222222222222,0.276666666666667,0.721814506065001,0.903430424619281,0.0649306233827786
"171100050803",47.2754152712363,32132.2999537128,2.24676760202128,0.24061347367175,0.339960501718365,0.172879578927583,0.397153923058139,0.283688566140608,0.841530001997324,0.963868074394569,0.020026814001737
"171100050804",632.233768178496,40342.7765292907,153.824538345663,0.186981201777923,0.328457032167053,0.24660408484512,0.340203693989062,0.278685560082199,0.739666569202511,0.937687163823273,0.0280292098546921
"171100060101",0,0,0,0,0,0,0,0,0,0,0
"171100060102",0.535954642662712,37772.1184939525,0.0710217566691577,0.234682805071118,0.295917231733706,0.403335072405272,0.220621279726261,0.288603856378031,0.993559381163579,0.918947719171232,0.0810522808287675
"171100060103",2.61104648014754,38125,0.235402454983229,0.234285714285714,0.333333333333333,0,0.216258879242305,0.286503551696922,1,1,0
"171100060104",2.18145545788338,38123.89498468,0.0709209587293465,0.234286957738244,0.294123282289351,0.411738309276198,0.216272539690031,0.286510128603928,0.999979831806533,0.91667380956852,0.0833261904314805
"171100060105",7.95107162181495,38125,0.0709206420985577,0.234285714285714,0.294117647058824,0.411764705882353,0.216258879242305,0.286503551696922,1,0.916666666666667,0.0833333333333333
"171100060106",12.0475729677831,38125,59.0503496204602,0.234285714285714,0.356161264426706,0.0508216686757146,0.216258879242305,0.286503551696922,0.973208506125059,0.815668674040119,0.176293877797398
"171100060201",2.16266339724219,38041.5046591381,0.0709445668307799,0.234379669990142,0.294543447032084,0.409770169165501,0.21729106741069,0.287000505071519,0.998476084306225,0.917206386808212,0.0827936131917881
"171100060202",8.08573293962516,38123.4936849146,0.0709210737176719,0.234287409313167,0.294125328791917,0.411728723027334,0.216277500647918,0.286512517087771,0.999972507481559,0.916676403600281,0.0833235963997186
"171100060203",3.95909182786237,38125,0.0709206420985577,0.234285714285714,0.294117647058824,0.411764705882353,0.216258879242305,0.286503551696922,1,0.916666666666667,0.0833333333333333
"171100060204",0,0,0,0,0,0,0,0,0,0,0
"171100060205",5.5763497946126,38125,0.0709206420985577,0.234285714285714,0.294117647058824,0.411764705882353,0.216258879242305,0.286503551696922,1,0.916666666666667,0.0833333333333333
"171100060301",3.22649930539151,38125,0.0709206420985577,0.234285714285714,0.294117647058824,0.411764705882353,0.216258879242305,0.286503551696922,1,0.916666666666667,0.0833333333333333
"171100060302",0,0,0,0,0,0,0,0,0,0,0
"171100060303",5.3044886656272,38130.2353630458,0.0710178972877709,0.234220452500059,0.293839250266106,0.411374950372549,0.216354446003255,0.286494240602297,1,0.916745545757937,0.0832544542420635
"171100060304",0,0,0,0,0,0,0,0,0,0,0
"171100060305",8.63268286712599,42033.7990252051,3.27632588129852,0.185560305574885,0.168031103806354,0.0932595871773341,0.287610428080011,0.279551751549152,0.776256929425095,0.985212192925339,0.014787807074661
"171100060401",4.17869753168468,38125,1.21503617970307,0.234285714285714,0.800849919039431,0.116170880560332,0.216258879242305,0.286503551696922,1,0.976489226553266,0.0235107734467338
"171100060402",2.76509277150832,38138.4399146453,0.0694450506973435,0.234136288539547,0.466437851375335,0.000309388163648612,0.216190422865923,0.286667018071958,0.933069019328541,0.979888499608997,0
"171100060403",4.21336050563562,38125,3.81410794246646,0.234285714285714,0.213726853900955,0.318769528297129,0.216258879242305,0.286503551696922,1,0.832107608946708,0.167892391053292
"171100060404",2018.7142724577,39648.6966959686,803.124801199328,0.216221548953792,0.267484645825549,0.331100176231074,0.227966205367482,0.293411044314183,0.739512601098058,0.868734016932974,0.0887452074050075
"171100060405",110.760050405517,43656,46.2968567400045,0.165338645418327,0.25658559677046,0.255909416927468,0.317222222222222,0.276666666666667,0.879782163474092,0.887366775198421,0.111164259764083
"171100070101",0,0,0,0,0,0,0,0,0,0,0
"171100070102",67.4191119667674,44270.3350409996,19.8233346553411,0.162314604978192,0.305046422113396,0.232761482186972,0.317818213075778,0.279655274159178,0.726415135447441,0.798253502162625,0.0550446374718755
"171100070103",298.162823341337,59563.8041584208,150.728946186569,0.0866320941175963,0.287550938591028,0.340255423620285,0.311914351689274,0.35997627109582,0.818393847662529,0.918047187394138,0.0245385217997048
"171100070104",2492.75180724266,45805.7977158318,478.843045569506,0.180494476323284,0.261756698416372,0.297689932815701,0.318348040095032,0.307610056297171,0.729319420883468,0.898470717184644,0.0388257004585059
"171100070105",1423.202603513,55809.0796005067,185.421455168005,0.104103818809752,0.269001303668997,0.318674996777963,0.193405760849146,0.369160471516243,0.786372203727038,0.912851827017153,0.0333396402029882
"171100070106",115.247771080212,69712.3503188856,42.8050918551222,0.0470550835326106,0.232304437061415,0.273184897951516,0.384236255633308,0.250188366911993,0.747045563268498,0.955325445012946,0.000000244486874584183
"171100070107",3506.79252879646,64123.64359439,314.969218982795,0.176154851665301,0.276967415990787,0.316211316373162,0.232510717667105,0.318738010123223,0.763333967174719,0.857774978081872,0.0774917719140919
"171100070201",1179.52486311488,71008.3771399508,112.425167741512,0.0760000163785462,0.250011458281116,0.304526405193199,0.372764574267138,0.265023115732635,0.737295740902614,0.891178342847351,0.0334424434329082
"171100070202",16265.9348875568,62444.5042998258,1870.45426696305,0.114271422249135,0.243352386154812,0.414058157351995,0.335173814584679,0.241324982917358,0.734008942547443,0.657453764625791,0.0224023856701562
"171100070203",26898.2645733625,45573.7450231452,2688.07343620488,0.198044987056685,0.2273978985661,0.385671247139515,0.253717573119566,0.288951664892808,0.527874703044058,0.674622825008627,0.0313994926341144
"171100070204",17327.0920239707,58472.838456488,1398.07479806996,0.0897008094933562,0.254875959340275,0.351885130243621,0.342826062901647,0.249566407739349,0.708587149880842,0.754447655771723,0.0257671090887961
