"HUC_12","DECIDUOUS_FOR","DEVELOPED_LOW","DEVELOPED_OPEN","EVERGREEN_FOR","GRASS_HERB","HERB_WETLANDS","MIXED_FOR","PASTURE","SHRUB_SCRUB","WOOD_WETLANDS","BARREN","DEVELOPED_MED","WATER","CROPS","DEVELOPED_HIGH","ICE_SNOW","HUC12_IMP"
170200010101,0.0000155136050542574,0.0000169374102029852,0.000124036188115788,0.925542287726041,0.0140861259630558,0.00207773762234337,0.0000465408155495978,0.0000775680676492483,0.0558220927054677,0.00219115646434524,0,0,0,0,0,0,1.11558378950872
170200010102,0,0.000238139470002086,0.000873812629363959,0.858315460763902,0.0520745177365425,0.00170251452741643,0,0,0.0748119359596915,0.00364481893640749,0.0000239790697811582,0.0000660250490575171,0.00824879973868,0,0,0,1.23539178577846
170200010103,0.000133258324307835,0.00245413479917247,0.00716752912155313,0.712439451760675,0.135175413434109,0.00608049493486299,0.0000832864629233493,0.0145347041343598,0.112726246745197,0.0083266343376138,0.000524704720863381,0.0000770112715690519,0.000016657292561062,0.00026047440359597,0,0,1.22404824904184
170200010104,0.000492137897016063,0.00199433487427591,0.00487131252810611,0.858280575894265,0.0156647834882659,0.00498458860656608,0.000126420728539433,0.017310980146119,0.090316270677368,0.00176537504153491,0,0.000108360624254697,0.00404997765124545,0.0000348807495839653,0,0,1.19752915308283
170200010105,0.00137031688655417,0.00528819053370726,0.0116748619645005,0.578268201705986,0.114106403191078,0.00841431620820942,0.000912629819047581,0.0112504591848865,0.259298578759627,0.00896579039587205,0.00010766777100669,0.00031321535992335,0.0000293639399921608,0,0,0,1.34983112728012
170200010201,0.00140759893649434,0.00526051404093816,0.0146280938979153,0.847961283206707,0.00856799552207151,0.00242132554721995,0,0.0251531821858706,0.0810669319080782,0.0108935909697931,0,0,0.000183599869280315,0,0,0,1.56522278181483
170200010202,0.00738073707065313,0.00155918678087501,0.00167546452396613,0.81793833823808,0.0569510081280135,0.00528017237774048,0.000527444821219504,0.000191103182652255,0.0887735248218147,0.0176967246828257,0,0.0000993736525053284,0.00107622564606485,0,0,0,1.26995735613184
170200010203,0.0448081240211604,0.00297178687984992,0.00491700698184872,0.640906071682125,0.0504079983098695,0.00330355743518763,0.0011903495405226,0.00440372865401401,0.163132918764976,0.0377615269668749,0,0.000541249528953538,0.0445713711306568,0.000150347196184289,0.0000300694183466249,0,1.40801997041406
170200010204,0.000180048199382159,0.00297301723495241,0.00796478161749271,0.685277140398395,0.0969673875593215,0.00386460685397793,0,0.00044369039348,0.196801293437128,0.002300029516725,0.00251424504839075,0.00018647855177423,0.000257211822829561,0.000270072267701584,0,0,1.36901729306541
170200010205,0.021069188134149,0.0149574120948833,0.0158821124525306,0.594480591940541,0.0258490512016183,0.00230589077661612,0,0.000201185088323821,0.234207069417523,0.0169584224471393,0.000154757719415758,0.00538989772822051,0.0683277733180301,0,0.000216660871339967,0,2.19406283284306
