"HUC_12","BARREN","DECIDUOUS_FOR","EVERGREEN_FOR","GRASS_HERB","HERB_WETLANDS","ICE_SNOW","MIXED_FOR","SHRUB_SCRUB","WATER","WOOD_WETLANDS","CROPS","DEVELOPED_LOW","DEVELOPED_MED","DEVELOPED_OPEN","DEVELOPED_HIGH","PASTURE","HUC12_IMP"
171100150204,0.000794190590785921,0.0229764607609745,0.200363737383118,0.0774333148894145,0.0194460252410011,0,0.247869746761808,0.155734167206083,0.0172557279537857,0.0587962793206538,0,0.0360074401282194,0.00164047106275198,0.0540226507790118,4.93867303325319e-05,0.107610366517743,2.56056338855916
171100150205,0.00132455786000759,0.0125590597150863,0.397982171380457,0.0787567069133812,0.0227147948269602,0,0.130931023227786,0.131683321360906,0.0229771262284779,0.0655124934584569,0.000106380160979969,0.0149134462729314,0.000709592707661361,0.0364545421047545,0.0001472956281479,0.0832274934181264,1.78684400486978
171100150301,0.00362708173243629,0.0173922871744726,0.256181383697735,0.058611511960014,0.0270435348122061,0,0.0988447679457375,0.112288109911387,0.020149115592479,0.0877124113225796,0.00180813046021631,0.0510612305930316,0.00726365563455587,0.067729233603698,0.00144931963794408,0.188838255641821,3.79761158366186
171100150302,0.000369614936401599,0.00790657416171386,0.143661886992239,0.0404170270651418,0.0323424446293793,0,0.0894730815890704,0.0608640729575336,0.000996241860039262,0.070114129020051,0,0.0635922663567481,0.0307710723093244,0.109246616880365,0.00930988958091923,0.340935058161172,6.80112222240406
171100150303,0.00473596641981505,0.026191785209172,0.0628189264256175,0.0325873618480911,0.015471041786037,0,0.266519884000226,0.0749307412528459,0.00414090340507779,0.0587208601699338,0.000460278055162823,0.0998284526672467,0.00584745211872669,0.102181613805776,0.000383565118912482,0.245181160452135,5.26096302067301
171100150304,0.0017026101313524,0.00958391459567915,0.243645261134314,0.0562455402842294,0.0415063607360135,0,0.105512255455049,0.0810220855476805,0.00392956075218838,0.0681848674440837,0.000704160125345877,0.0359836849426167,0.00261763449021817,0.0631473017063756,7.90558420413644e-06,0.286206820191527,2.8317352919843
171100150305,0.000627145353503736,0.00942730923486427,0.326371488569025,0.145069728718162,0.0162511405606665,0,0.0763943248128701,0.0321585958930177,0.00986396673345983,0.0401989540487743,0,0.114130850708699,0.0211792930601372,0.118617188340047,0.00253733685087771,0.0871726731797529,7.25392837948719
171100150306,0.00093217296797536,0.00476467595759038,0.356543494625891,0.491019345538608,0.00290399286980353,0,0.0156206858586523,0.0195525899769415,0.0125604601243301,0.00460313575137974,0,0.0373942908598313,0.00715243773306719,0.045318479758346,0.00141751935831562,0.000216668419204886,3.08349034179986
171100150307,0.00205803773803832,0.0231267044878298,0.448746747445371,0.0770339278940389,0.0385887231039013,0,0.0545764834051653,0.0525653896297008,0.0149180261817335,0.0413541530232427,0.00151911455209489,0.0492253559772671,0.035211912846007,0.0720047564427111,0.0217123912734723,0.0673582824812198,7.38911252972687
171100150308,0.0108689442498934,0.0310748058886279,0.359235684132357,0.0390180258489928,0.0271833651378083,0,0.06775599116458,0.0632848836095657,0.0148747725934221,0.0249416444666811,0.0116041276473918,0.096507999297222,0.0334056200963878,0.093105847652204,0.00497650246641513,0.122161812603244,7.56168071374669
171100160101,6.75841256621207e-05,0.00463035004516936,0.739969501169981,0.0389082089717084,0.000101376260662858,0,0.0321589065260175,0.15672562350875,4.50561086620872e-05,0.00650435493009418,0,0.00431030809246174,0.000436832477354096,0.0161419021518428,0,0,1.21546129480722
171100160102,0.000389335734228326,0.0144626303307675,0.431331450705417,0.160535373147795,0.00867770968186229,0,0.0638523815804014,0.180411744033938,0.00821920026557721,0.0285536144911657,0,0.0122432549458243,0.000992790002390744,0.0284025357100228,0.000359606227524511,0.0615683621314966,1.66774940294265
171100160201,0.00186786047600403,0.023670493766782,0.354298100001938,0.108724681906017,0.0186610290085025,0,0.0779128435119784,0.0875095705489782,0.0148581379510128,0.0539348509760068,0,0.036582711393488,0.0057032199292239,0.0566017611558434,0.000931073561128262,0.15874362375066,3.06798491170785
171100160202,0.00538161937127532,0.0291628831493515,0.0585456136705286,0.0137915316252378,0.0231287164530159,0,0.0540082718827568,0.0360987287516885,0.020637663580932,0.0556810405028436,0.00319790809275177,0.214287909443724,0.146350091999644,0.204179299699237,0.0469179140518259,0.0886307425774994,23.580424798585
171100170101,0.00497214638640376,0.00300442189784195,0.830178733502562,0.013574462591514,0.000282771738731396,3.46251103489362e-05,0.00462822320746151,0.070256614195367,0.00363563713098195,0.00443201446012703,0,0.00659099962181031,0.000326805193738311,0.0580479199238809,3.46251104090831e-05,0,1.55192074608015
171100170102,0.00433044216648764,0.0110199249875888,0.658317227003764,0.0745651226659303,0.0020088927749599,0,0.0245627967962585,0.1040220320571,0.0101868923818593,0.0147003994639557,0,0.00884061935234285,0.00022480217998556,0.0723233762191777,1.60572985708197e-05,0.0148814170604841,1.71766984435779
171100170201,0.0346226460474184,0.000977448639951205,0.83045807235237,0.0147803868133208,0,0.000658597250238286,0.000370034160324551,0.112134242351837,0.0014823245024286,0.00101933856115142,0,0.00020247153628427,0,0.00329111562784644,3.32346802253541e-06,0,1.02683214608954
171100170202,0.0111551370198762,0.00351342640980983,0.679782756050915,0.0385535039894235,0.00122050910910426,6.46627305280834e-05,0.0109634180900417,0.0778531868337104,0.140659048050698,0.00510963061466761,0,0.00507172783289673,0.0004236545450481,0.0255046359180592,0.000124601916437595,9.84171611582883e-08,1.3503482434707
171100170203,0.000687283378300448,0.0165329205289868,0.505660026231133,0.143277036138001,0.00368494683441554,0,0.0415911363860542,0.135982427752631,0.00680645497611701,0.0222471179294905,0,0.0298246306595684,0.00150994959467476,0.0779783914397401,1.56474746820496e-05,0.0142020970866719,2.50166492451601
171100170204,0.00170326975274368,0.0256575687192716,0.347838716506309,0.0612458968496772,0.0650483139399226,0,0.0380624471118976,0.159466686453851,0.0152840553950343,0.139721031627869,0.00122580186305613,0.0233543447161138,0.00296484308354674,0.0557322651803158,0.000288423997824042,0.0624062991655131,2.37306658332653
171100180101,0.01258367811911,0.0512613749427808,0.41066154320998,0.097562530204118,0.00766250181307688,0,0.0629481811494998,0.17499230915965,0.0066769323260772,0.0308782839869009,0,0.0434865501319171,0.0187984297021257,0.0535200542313964,0.00893123165718163,0.020036415361644,4.90837132200614
