"HUC_12","BARREN","DECIDUOUS_FOR","EVERGREEN_FOR","GRASS_HERB","HERB_WETLANDS","ICE_SNOW","MIXED_FOR","SHRUB_SCRUB","WATER","WOOD_WETLANDS","DEVELOPED_HIGH","DEVELOPED_LOW","DEVELOPED_MED","DEVELOPED_OPEN","CROPS","PASTURE","HUC12_IMP"
170300010101,0.0980100229465853,0.00352065510062633,0.677158212916216,0.0954399792672954,6.5561546602476e-06,0.00636504856950492,0.000295026949813731,0.0902515969866751,0.0188433106950107,0.0101095907091278,0,0,0,0,0,0,1
170300010102,0.0919332181542529,0.000719495123654321,0.678296899069389,0.0619763164860404,0.000566269286705268,0.0073493594558511,0.000413043593212669,0.12833476530974,0.00611712525428419,0.00958660576053293,2.6647966358365e-05,0.00324290033925494,0.00037989397940312,0.0110537830797428,0,0,1.16935539216402
170300010103,0.0624378705494005,0.00134837804765497,0.676254878118668,0.0540415890806111,0.000506324833102961,0.0156652829932345,0.000524369223322941,0.123867892016008,0.0119753068718821,0.0246949947913619,0,0.00407770930990366,5.61824225335975e-05,0.0245492268619913,0,0,1.19232881963083
170300010104,0.00606466125480142,0.00124910828666838,0.745390974563576,0.0288826253826678,0.00122358184985008,0,0.000350626868704082,0.150445191832348,0.00366884673797598,0.00763700949511733,1.09570886237039e-05,0.00788803477329712,0.000602375972964588,0.0465860006773033,0,0,1.44364726835228
170300010105,0.0216407485768895,0.00143934068372045,0.505410760358781,0.0123920504433393,0.00761813115011467,0,0.000380518651337082,0.189888572773292,0.205665775852587,0.00579065344344411,6.15102829441005e-05,0.0101207465665645,0.00151792586224745,0.0380732772013227,0,0,1.57074152944156
170300010106,9.09785993829901e-05,0.00311152581411712,0.46843841682656,0.0242854911955792,0.00100076451841227,0,5.58372202221075e-05,0.312477462762468,0.0125255780146042,0.0373641475467269,0.000730873101994353,0.034313261731654,0.00769820316478212,0.0930812393407544,9.0978599310235e-05,0.00473530187992764,3.06666075910663
170300010201,0.0455955613097955,0.00107387850801867,0.630516985377534,0.111988263220318,7.15919045416776e-06,0,3.57959467222804e-05,0.200765527230344,7.14324863508888e-05,0,2.14775714514035e-05,0.0024623983157532,0.000121706244621938,0.00733982779976362,0,0,1.12029517132916
170300010202,0.00123947993570233,0.000683413470014154,0.658738769789802,0.0993305200153753,1.15832782956427e-05,0,1.15832785163844e-05,0.226833942413177,1.15832786734543e-05,0.00238615487627849,0,0.00326389513558826,8.10829586531148e-05,0.00740799313321923,0,0,1.14326404587647
170300010203,4.75395270823867e-05,0.000958083294547351,0.641016446902183,0.0428351755824158,5.32268476350899e-05,0,0,0.283380380326712,0,0.00569527379284479,0,0.00375435576783454,1.77422824108323e-05,0.0222417857844973,0,0,1.21608197807695
170300010204,0,0.00023953021726841,0.656082281296739,0.0265009975651826,0.000598825616382247,0,0,0.276370207308901,0.000179755494882326,0.00496788617490148,7.48531864503766e-06,0.00530572426524151,0.000179647647858095,0.0294778341183073,0,8.98238336601324e-05,1.30559441587003
170300010205,7.39235632287162e-05,0.00100207496739469,0.421015546974813,0.0385235114439773,0.00126451047987345,0,0.000533892381337161,0.420141205413562,0.00181665528341575,0.0109063500127787,4.51956869632504e-05,0.0141045174887061,0.0011240403240245,0.0291186200390157,0.00011499221069183,0.0602149898590294,1.67193031435688
170300010301,0.0204177065595728,0.00383782508523007,0.663542689873089,0.0207167351988477,0.00559498045215551,2.2847885434657e-06,0.0025627793515302,0.144453404173804,0.059901669262234,0.00537927728209163,0.00208122848537458,0.0155491058521373,0.00614348522644314,0.0497977850704866,1.90305382010127e-05,0,2.25246040035882
170300010302,0.000395458122267203,0.00232837630843575,0.741317009892026,0.0235439865269904,0.000131253204355884,0,0.000557826119125719,0.160953499498635,0.000142190963597803,0.0107326741645417,1.09377668454609e-05,0.00825175982995798,4.37510674047519e-05,0.0515912795731946,0,0,1.44447063701712
170300010303,0.00935706181108635,0.00230354274979646,0.679187557272727,0.0274475498329758,0.000470656790498812,0,0.000801198859295965,0.119970092717501,0.108035211089071,0.00882755067044949,1.64182606214662e-05,0.00533286849767435,0.000366920409862708,0.0378833844458779,0,0,1.31761925778719
