HUC_12,instream_act,riparian_act,land_act,fishpass_act,instream_cst,n_instream_huc,n_instream_cst,riparian_cst,n_riparian_huc,n_riparian_cst,land_cst,n_land_huc,n_land_cst,main_cst,n_main_huc,n_main_cst,prj_cst,n_prj_cst,n_prj_huc,n_worksites
171100160202,2,3,1,1,3957.630713080817,1,1,27874.753240263788,1,1,0,0,0,49087.17993019967,5,5,53747.251161605906,5,6,6
171100170101,2,5,2,3,7756.453075551663,2,2,NA,5,0,0,0,0,7756.453075551663,9,9,23234.4342769145,8,18,30
171100170102,55,46,1,0,NA,2,0,0,0,0,0,0,0,584898.015797704,10,10,584898.015797704,2,10,55
171100170201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100170202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100170203,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,376208.6355340285,2,2,2
171100170204,35,33,4,16,413824.4138920491,2,2,462299.0361437187,4,4,184041.76267677065,2,2,1060165.2127125384,24,24,9238316.703814266,11,34,50
171100180101,2,4,1,7,124657.281571366,1,1,0,0,0,0,0,0,1740436.9716264314,5,5,2614270.0485869003,10,12,14
171100180102,2,2,0,3,0,0,0,0,0,0,0,0,0,NA,1,0,611957.1537594942,2,5,5
171100180103,1,0,0,10,0,0,0,0,0,0,0,0,0,NA,0,0,966821.9039560225,9,11,11
171100180104,37,34,1,11,76164.10734150301,1,1,0,0,0,0,0,0,180045.17531764135,5,5,1299492.2774459047,9,15,49
171100180105,2,1,1,3,NA,1,0,0,0,0,0,0,0,508133.57683745184,3,3,739548.5880995039,5,6,6
171100180106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180107,6,0,6,2,0,0,0,0,0,0,NA,1,0,NA,9,0,691783.5755700639,3,12,13
171100180108,2,1,0,0,68100.6330434729,1,1,0,0,0,0,0,0,336139.30161220476,3,3,336139.30161220476,3,3,3
171100180201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180301,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1
171100180302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180402,0,0,2,0,0,0,0,0,0,0,NA,1,0,542880.5616972927,2,2,542880.5616972927,1,2,2
171100180501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180503,9,8,7,0,250951.6529013271,1,1,NA,4,0,187176.3949538935,3,3,3785280.731310275,16,16,5151969.089098746,9,18,21
171100180601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100180602,2,0,1,0,NA,1,0,0,0,0,0,0,0,NA,2,0,0,0,2,2
171100180603,8,7,6,0,959627.7846399712,4,4,NA,2,0,NA,2,0,2976342.0328468587,17,17,3387674.7181327855,9,19,21
171100180701,6,2,3,1,0,0,0,0,0,0,NA,1,0,298220.8372705623,5,5,1348539.880652569,6,11,13
171100180702,9,11,2,0,0,0,0,NA,1,0,0,0,0,119061.3938566372,9,9,119061.3938566372,1,9,14
171100180703,30,4,5,9,373441.3433522467,3,3,0,0,0,NA,2,0,373441.3433522467,7,7,5782238.846481442,14,21,49
171100180704,1,1,0,2,0,0,0,0,0,0,0,0,0,NA,1,0,2205948.165086357,3,4,4
171100180800,16,11,8,13,38782.26537775831,1,1,0,0,0,1476616.339656637,3,3,2643259.4315688564,12,12,10145518.88524139,17,28,39
171100190101,2,1,1,1,0,0,0,0,0,0,0,0,0,NA,3,0,435018.750234378,1,6,6
171100190102,0,0,5,0,0,0,0,0,0,0,928608.6286594762,4,4,3508683.108276582,5,5,3508683.108276582,2,6,6
171100190103,1,0,3,1,0,0,0,0,0,0,NA,3,0,154642.23911413093,4,4,377993.85698778275,2,7,7
171100190104,0,0,2,0,0,0,0,0,0,0,NA,2,0,NA,2,0,0,0,2,2
171100190105,0,0,11,4,0,0,0,0,0,0,2761667.420842761,8,8,2761667.420842761,11,11,2940581.934125459,3,17,17
171100190106,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,2,2
171100190107,0,2,8,0,0,0,0,NA,1,0,NA,4,0,NA,8,0,334936.37195464945,1,10,12
171100190201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100190202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100190203,1,1,5,0,0,0,0,0,0,0,NA,2,0,126628.93605016508,3,3,1515086.243864939,2,4,6
171100190204,4,8,2,0,140484.96393138787,1,1,156137.87341381176,1,1,0,0,0,583663.2788551719,7,7,8405325.707106698,7,11,14
171100190205,10,12,0,9,1337451.1071131052,4,4,0,0,0,0,0,0,1591783.2829731833,10,10,2635514.447853594,17,18,22
171100190301,1,0,0,1,0,0,0,0,0,0,0,0,0,13803.033579241925,1,1,64483.638771668426,2,2,2
171100190302,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,441378.6458755498,1,1,1
171100190303,1,0,2,7,0,0,0,0,0,0,0,0,0,NA,2,0,3076194.1462066206,7,9,9
171100190304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100190401,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,1139632.399729236,2,2,2
171100190402,0,0,2,2,0,0,0,0,0,0,0,0,0,255872.4603094219,2,2,255872.4603094219,1,4,4
171100190403,2,1,4,2,0,0,0,0,0,0,NA,1,0,321491.1592082301,4,4,596151.5074682293,3,7,8
171100190404,1,4,5,1,0,0,0,0,0,0,3531659.41674603,3,3,4317781.647655929,5,5,9321118.933579154,8,11,11
171100190501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100190502,1,3,2,12,0,0,0,0,0,0,NA,2,0,759207.1731540778,5,5,2243801.2078884905,13,15,18
171100190503,1,1,2,8,0,0,0,0,0,0,0,0,0,1600288.5535069727,2,2,4542998.20645439,8,11,12
171100190504,3,3,1,7,15374.398060468477,1,1,17568.400298576613,1,1,343698.6800669224,1,1,702893.7562618087,5,5,2106800.629826552,13,14,14
171100190505,1,0,0,6,NA,1,0,0,0,0,0,0,0,NA,1,0,377310.93392705463,2,7,7
171100190601,1,0,2,1,NA,1,0,0,0,0,NA,1,0,NA,3,0,158299.0555261287,1,4,4
171100190602,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,2,0,0,0,2,2
171100190603,7,3,2,9,145075.48546776155,4,4,0,0,0,0,0,0,182038.58021396823,6,6,670152.9011770108,7,13,17
171100190604,3,1,0,4,189368.6859532245,3,3,0,0,0,0,0,0,189368.6859532245,3,3,679887.3902668357,6,7,7
171100190605,0,0,9,4,0,0,0,0,0,0,683555.2744097256,1,1,2114148.108135828,6,6,10427858.29328438,5,10,13
171100190606,0,1,5,4,0,0,0,NA,1,0,3084412.89737526,4,4,3084412.89737526,6,6,3825333.446583794,5,10,10
171100190607,1,0,0,5,25587.42453401133,1,1,0,0,0,0,0,0,25587.42453401133,1,1,388225.2295509377,4,6,6
171100190608,0,0,0,5,0,0,0,0,0,0,0,0,0,NA,0,0,2390846.3768881573,5,7,7
171100190609,0,0,5,7,0,0,0,0,0,0,0,0,0,NA,1,0,765028.6805450666,5,8,11
171100190610,2,0,2,9,NA,2,0,0,0,0,0,0,0,NA,2,0,1394913.1149866926,8,11,11
171100190701,2,1,1,33,NA,1,0,0,0,0,0,0,0,NA,2,0,2038160.85539385,6,9,36
171100190702,1,1,0,4,0,0,0,0,0,0,0,0,0,NA,0,0,406423.49626374803,2,4,5
171100190703,1,3,3,5,0,0,0,NA,1,0,939141.9529774587,2,2,1513522.9631046124,5,5,2609374.427226637,7,11,12
171100190704,7,4,0,2,740131.8331163905,1,1,0,0,0,0,0,0,1435444.939085349,7,7,1435444.939085349,2,9,9
171100190705,4,4,4,4,0,0,0,0,0,0,484144.01973151555,2,2,1831617.934066719,6,6,4360824.416811536,6,10,10
171100190706,3,3,6,13,496486.0123821772,2,2,7741.624444103667,1,1,NA,1,0,1406625.1834341006,7,7,5088722.4100495875,9,20,24
171100190707,7,8,8,9,NA,1,0,0,0,0,1477362.9900094562,4,4,7147520.90587919,13,13,11759986.116321426,12,21,26
171100190801,1,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1,0,0,0,1,1
171100190802,101,93,32,4,117073.20405642259,9,9,116951.81160737,3,3,514820.4962256402,3,3,4660985.273272351,71,71,4917758.49709577,28,76,141
171100190803,0,2,4,0,0,0,0,0,0,0,806117.0874948335,2,2,5369315.053965443,5,5,5712569.0333417375,4,7,10
171100190900,4,8,15,2,98487.65035609213,2,2,0,0,0,NA,5,0,3470223.5729517983,20,20,6050401.824147976,14,38,39
171100191000,0,0,3,0,0,0,0,0,0,0,NA,2,0,NA,3,0,1773963.1377723047,4,7,7
171100191100,14,17,5,12,92731.3122987272,1,1,NA,2,0,472666.3175539656,3,3,3892462.921285416,12,12,11519975.805170665,13,29,57
171100191200,1,3,6,2,NA,1,0,1590230.968147102,1,1,1099910.999125086,3,3,6111583.385443943,8,8,9227598.155292688,12,23,24
171100191300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
171100200101,55,34,7,1,0,0,0,NA,1,0,302891.5018528543,2,2,1675899.4580155476,16,16,1675899.4580155476,7,17,69
171100200102,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,1,1
